,loan_id,account_id,amount,duration,payments,status,year_x,month_x,day_x,fulldate_x,location,purpose,remaining_months,district_id,frequency,parseddate,year_y,month_y,day_y,city_x,state_name,state_abbrev,region,division,bank_branch,Latitude,Longitude,client_id,sex,fulldate_y,day,month,year,age,social,first,middle,last,phone,email,address_1,address_2,city_y,state,zipcode
1989,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000002,Male,1965-02-04,4,2,1965,54,806-94-5725,Noah,Everest,Thompson,212-423-7734,noah.thompson@gmail.com,75 W. Berkshire St.,,New York City,NY,10040
1990,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000003,Female,1960-10-09,9,10,1960,59,614-70-9100,Olivia,Brooklynne,Johnson,212-425-6932,olivia.johnson@outlook.com,36 Second St.,,New York City,NY,10162
1991,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000022,Female,1989-10-11,11,10,1989,30,157-87-6583,Madison,Kimberlyn,Martinez,212-093-8170,madison.martinez@gmail.com,7062 Temple Court,Unit 1B,New York City,NY,10282
1992,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000023,Male,1993-05-29,29,5,1993,26,158-18-4299,Daniel,Isa,Hall,212-803-8384,daniel.hall67@gmail.com,30 West Westport Dr.,,New York City,NY,10009
1993,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000028,Male,1965-09-29,29,9,1965,54,517-85-8773,Aiden,Jamil,Young,212-751-6276,aiden.young9@gmail.com,125 North Holly Dr.,,New York City,NY,10158
1994,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000058,Female,1947-04-29,29,4,1947,72,810-95-8590,Aria,Abigail,Perez,212-621-0332,aria.perez@gmail.com,9122 South Fieldstone Dr.,,New York City,NY,10116
1995,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000059,Male,1977-02-18,18,2,1977,42,305-32-3513,Dylan,Tiberius,Roberts,212-616-4139,dylan.roberts@gmail.com,188 1st Road,,New York City,NY,10199
1996,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000066,Female,1971-11-10,10,11,1971,48,269-51-2282,Alexa,Harper,Allen,212-875-6847,alexa.harper.allen@gmail.com,18 Rockville Dr.,,New York City,NY,10087
1997,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000077,Female,1976-02-18,18,2,1976,43,381-22-7472,Savannah,Avery,Baker,212-996-3299,savannah.baker@gmail.com,24 Leatherwood St.,,New York City,NY,10114
1998,5285.0,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement,-46,1,Monthly Issuance,2013-05-09,2013,5,9,New York City,New York,NY,Northeast,Middle Atlantic,Quay Manhattan,40.7127281,-74.0060152,C00000083,Female,1998-12-25,25,12,1998,21,470-19-9896,Camila,Aubrey,Campbell,212-031-4727,camila.campbell@gmail.com,619 Whitemarsh Rd.,,New York City,NY,10278
