loan_id,funded_amount,funded_date,duration_years,duration_months,_10_yr_treasury_index_date_funded,interest_rate_percent,interest_rate,payments,total_past_payments,loan_balance,property_value,purpose,firstname,middlename,lastname,social,phone,title,employment_length,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BUILDING_CLASS_AT_PRESENT,ADDRESS_1,ADDRESS_2,ZIP_CODE,CITY,STATE,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,TAX_CLASS_AT_TIME_OF_SALE
LL0000061,1310000,2017-05-08,30,360,2.3868000507354736,3.9860000610351563,3.9850000292062759E-2,6242.81982421875,31,1116472.625,1358400,home,Reese,Kaitlyn,Ferguson,111-67-8367,533-522-5569,Sr. director Claims,5,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,105 NEPTUNE AVENUE,5,10123,New York City,NY,1,0,0,2
LL0000062,1330000,2019-09-01,30,360,1.5,3.0989999771118164,3.0990000814199448E-2,5678.60009765625,4,1307285.625,1516100,investment property,Barrett,Emerson,Charles,376-64-7636,482-993-5053,Managing Director,4,04 TAX CLASS 1 CONDOS                      ,1C,R6,5714 18TH AVENUE,1,10041,New York City,NY,1,0,0,1
LL0000063,1860000,2014-05-20,30,360,2.5199999809265137,4.1180000305175781,4.1179999709129333E-2,9006.919921875,67,1256536.25,2142600,commerical property,Orion,Fabian,Marks,914-43-0753,305-297-1988,General Manager,3,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,265 1ST STREET,1,10106,New York City,NY,1,0,0,2
LL0000064,6138000,2013-09-25,30,360,2.630000114440918,4.2239999771118164,4.2240001261234283E-2,30101.919921875,75,3880356.25,6432450,investment property,Damian,Andres,Worthington,452-66-1934,776-744-6579,executive vice prsident,12,07 RENTALS - WALKUP APARTMENTS             ,2,C1,323 43RD   STREET,24,10156,New York City,NY,24,6261,21000,2
LL0000065,740000,2014-04-26,30,360,2.6800000667572021,4.2789998054504395,4.2789999395608902E-2,3652.929931640625,68,491600.8125,963800,home,Hudson,Eli,Gates,998-33-1912,754-614-1096,Managing Director,2,04 TAX CLASS 1 CONDOS                      ,1C,R6,1340 59TH STREET,2,10166,New York City,NY,1,0,0,1
LL0000066,1620000,2017-09-17,30,360,2.2023000717163086,3.8010001182556152,3.8010001182556152E-2,7549.43017578125,27,1416165.375,1781800,investment property,Grayson,Joel,Toledo,603-07-1300,552-092-5729,Attorney,17,04 TAX CLASS 1 CONDOS                      ,1A,R3,209 BERRY STREET,2,10020,New York City,NY,1,0,0,1
LL0000067,2244000,2015-06-03,15,180,2.380000114440918,3.6779999732971191,3.6779999732971191E-2,16238.830078125,54,1367103,2387650,commerical property,Josiah,Preston,Higginbotham,141-38-7175,620-158-1079,President ,11,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,117 EAST 18TH   STREET,4,10249,New York City,NY,1,,,2
LL0000068,1524000,2015-06-24,30,360,2.380000114440918,3.9790000915527344,3.9779998362064362E-2,7256.490234375,54,1132149.375,1666600,commerical property,Mario,Keegan,Flowers,878-52-1268,975-352-9631,Owner/Operator,7,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,92 PENN STREET,3,10081,New York City,NY,1,0,0,2
LL0000069,4008000,2016-06-13,30,360,1.6200000047683716,3.2160000801086426,3.2159999012947083E-2,17368.369140625,42,3278528.75,4252850,home,Julian,Levi,Carter,898-01-9440,642-032-3372,Director of Submarine Safety,3,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,85 LEONARD STREET,3,10003,New York City,NY,1,,,2
LL0000070,664000,2012-04-05,30,360,2.190000057220459,3.7890000343322754,3.7889998406171799E-2,3089.800048828125,92,379738.375,985350,home,Amir,Graham,Patton,920-38-2872,899-072-1493,Partner,18,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,25 ST JOHNS PLACE,4,10114,New York City,NY,4,2133,5438,2
LL0000071,1900000,2015-01-21,30,360,1.8700000047683716,3.4679999351501465,3.4680001437664032E-2,8497.9501953125,59,1398621.125,2050300,commerical property,Mckenzie,Jordyn,Gordon,484-91-9261,741-582-6170,Financial Advisor,17,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,970 PARK PLACE,3,10005,New York City,NY,4,2540,3680,2
LL0000072,1510000,2015-11-24,30,360,2.2400000095367432,3.8389999866485596,3.8380000740289688E-2,7068.66015625,49,1163635.625,1704950,home,Vincent,Nathaniel,Ojeda,406-33-1358,373-516-0950,Resident Director/ Financial Advisor,16,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,131-03 40TH   ROAD,12Y,10121,New York City,NY,1,,,2
